map_name,hero,lose,win,Win Percent
Blizzard World,All Heroes,1014.0,1014.0,50.0
Blizzard World,Ana,59.0,58.0,49.572649572649574
Blizzard World,Ashe,33.0,32.0,49.23076923076923
Blizzard World,Baptiste,57.0,61.0,51.69491525423729
Blizzard World,Bastion,4.0,2.0,33.33333333333333
Blizzard World,Brigitte,84.0,87.0,50.877192982456144
Blizzard World,D.Va,134.0,123.0,47.85992217898833
Blizzard World,Doomfist,11.0,11.0,50.0
Blizzard World,Echo,10.0,7.0,41.17647058823529
Blizzard World,Genji,31.0,41.0,56.94444444444444
Blizzard World,Hanzo,36.0,50.0,58.139534883720934
Blizzard World,Junkrat,42.0,41.0,49.39759036144578
Blizzard World,Lúcio,79.0,61.0,43.57142857142857
Blizzard World,McCree,43.0,39.0,47.5609756097561
Blizzard World,Mei,47.0,45.0,48.91304347826087
Blizzard World,Mercy,84.0,85.0,50.29585798816568
Blizzard World,Moira,26.0,13.0,33.33333333333333
Blizzard World,Orisa,77.0,78.0,50.32258064516129
Blizzard World,Pharah,22.0,23.0,51.11111111111111
Blizzard World,Reaper,11.0,4.0,26.666666666666668
Blizzard World,Reinhardt,64.0,62.0,49.2063492063492
Blizzard World,Roadhog,25.0,28.0,52.83018867924528
Blizzard World,Sigma,25.0,32.0,56.14035087719298
Blizzard World,Soldier: 76,8.0,8.0,50.0
Blizzard World,Sombra,38.0,46.0,54.761904761904766
Blizzard World,Symmetra,,2.0,
Blizzard World,Torbjörn,3.0,4.0,57.14285714285714
Blizzard World,Tracer,105.0,95.0,47.5
Blizzard World,Widowmaker,74.0,77.0,50.993377483443716
Blizzard World,Winston,88.0,82.0,48.23529411764706
Blizzard World,Wrecking Ball,22.0,27.0,55.10204081632652
Blizzard World,Zarya,55.0,51.0,48.113207547169814
Blizzard World,Zenyatta,129.0,133.0,50.76335877862596
Busan,All Heroes,1230.0,1230.0,50.0
Busan,Ana,85.0,77.0,47.53086419753087
Busan,Ashe,47.0,51.0,52.04081632653062
Busan,Baptiste,69.0,73.0,51.40845070422535
Busan,Bastion,3.0,,
Busan,Brigitte,111.0,114.0,50.66666666666667
Busan,D.Va,127.0,124.0,49.40239043824701
Busan,Doomfist,25.0,21.0,45.65217391304348
Busan,Echo,13.0,11.0,45.83333333333333
Busan,Genji,16.0,15.0,48.38709677419355
Busan,Hanzo,14.0,9.0,39.130434782608695
Busan,Junkrat,4.0,2.0,33.33333333333333
Busan,Lúcio,158.0,148.0,48.36601307189542
Busan,McCree,43.0,45.0,51.13636363636363
Busan,Mei,56.0,54.0,49.09090909090909
Busan,Mercy,37.0,30.0,44.776119402985074
Busan,Moira,80.0,81.0,50.31055900621118
Busan,Orisa,79.0,90.0,53.25443786982249
Busan,Pharah,12.0,8.0,40.0
Busan,Reaper,55.0,50.0,47.61904761904761
Busan,Reinhardt,83.0,85.0,50.595238095238095
Busan,Roadhog,17.0,28.0,62.22222222222222
Busan,Sigma,78.0,82.0,51.24999999999999
Busan,Soldier: 76,12.0,6.0,33.33333333333333
Busan,Sombra,81.0,83.0,50.609756097560975
Busan,Symmetra,4.0,4.0,50.0
Busan,Torbjörn,9.0,8.0,47.05882352941176
Busan,Tracer,102.0,84.0,45.16129032258064
Busan,Widowmaker,71.0,71.0,50.0
Busan,Winston,67.0,62.0,48.06201550387597
Busan,Wrecking Ball,86.0,66.0,43.42105263157895
Busan,Zarya,73.0,74.0,50.34013605442177
Busan,Zenyatta,109.0,107.0,49.53703703703704
Dorado,All Heroes,1014.0,1014.0,50.0
Dorado,Ana,65.0,62.0,48.818897637795274
Dorado,Ashe,11.0,15.0,57.692307692307686
Dorado,Baptiste,11.0,9.0,45.0
Dorado,Bastion,5.0,1.0,16.666666666666664
Dorado,Brigitte,96.0,98.0,50.51546391752577
Dorado,D.Va,143.0,139.0,49.29078014184397
Dorado,Doomfist,13.0,15.0,53.57142857142857
Dorado,Echo,4.0,5.0,55.55555555555556
Dorado,Genji,46.0,52.0,53.06122448979592
Dorado,Hanzo,44.0,53.0,54.63917525773196
Dorado,Junkrat,50.0,48.0,48.97959183673469
Dorado,Lúcio,76.0,63.0,45.32374100719424
Dorado,McCree,31.0,26.0,45.614035087719294
Dorado,Mei,16.0,17.0,51.515151515151516
Dorado,Mercy,101.0,110.0,52.13270142180095
Dorado,Moira,23.0,14.0,37.83783783783784
Dorado,Orisa,71.0,81.0,53.289473684210535
Dorado,Pharah,42.0,38.0,47.5
Dorado,Reaper,13.0,14.0,51.85185185185185
Dorado,Reinhardt,71.0,69.0,49.28571428571429
Dorado,Roadhog,46.0,25.0,35.2112676056338
Dorado,Sigma,17.0,21.0,55.26315789473685
Dorado,Soldier: 76,16.0,10.0,38.46153846153847
Dorado,Sombra,47.0,38.0,44.70588235294118
Dorado,Torbjörn,3.0,4.0,57.14285714285714
Dorado,Tracer,95.0,74.0,43.786982248520715
Dorado,Widowmaker,100.0,106.0,51.45631067961165
Dorado,Winston,103.0,96.0,48.24120603015075
Dorado,Wrecking Ball,22.0,26.0,54.166666666666664
Dorado,Zarya,78.0,69.0,46.93877551020408
Dorado,Zenyatta,122.0,124.0,50.40650406504065
Eichenwalde,All Heroes,942.0,942.0,50.0
Eichenwalde,Ana,54.0,62.0,53.44827586206896
Eichenwalde,Ashe,21.0,16.0,43.24324324324324
Eichenwalde,Baptiste,43.0,49.0,53.2608695652174
Eichenwalde,Bastion,3.0,2.0,40.0
Eichenwalde,Brigitte,88.0,85.0,49.13294797687861
Eichenwalde,D.Va,111.0,112.0,50.224215246636774
Eichenwalde,Doomfist,16.0,15.0,48.38709677419355
Eichenwalde,Echo,9.0,5.0,35.714285714285715
Eichenwalde,Genji,23.0,31.0,57.407407407407405
Eichenwalde,Hanzo,29.0,24.0,45.28301886792453
Eichenwalde,Junkrat,31.0,24.0,43.63636363636363
Eichenwalde,Lúcio,94.0,94.0,50.0
Eichenwalde,McCree,60.0,53.0,46.902654867256636
Eichenwalde,Mei,30.0,31.0,50.81967213114754
Eichenwalde,Mercy,80.0,72.0,47.368421052631575
Eichenwalde,Moira,27.0,27.0,50.0
Eichenwalde,Orisa,70.0,59.0,45.73643410852713
Eichenwalde,Pharah,60.0,64.0,51.61290322580645
Eichenwalde,Reaper,22.0,19.0,46.34146341463415
Eichenwalde,Reinhardt,77.0,76.0,49.673202614379086
Eichenwalde,Roadhog,30.0,21.0,41.17647058823529
Eichenwalde,Sigma,32.0,32.0,50.0
Eichenwalde,Soldier: 76,13.0,11.0,45.83333333333333
Eichenwalde,Sombra,57.0,57.0,50.0
Eichenwalde,Symmetra,4.0,1.0,20.0
Eichenwalde,Torbjörn,6.0,4.0,40.0
Eichenwalde,Tracer,76.0,70.0,47.94520547945205
Eichenwalde,Widowmaker,27.0,19.0,41.30434782608695
Eichenwalde,Winston,81.0,81.0,50.0
Eichenwalde,Wrecking Ball,27.0,23.0,46.0
Eichenwalde,Zarya,74.0,69.0,48.25174825174825
Eichenwalde,Zenyatta,100.0,96.0,48.97959183673469
Hanamura,All Heroes,1260.0,1260.0,50.0
Hanamura,Ana,130.0,122.0,48.41269841269841
Hanamura,Ashe,56.0,51.0,47.66355140186916
Hanamura,Baptiste,93.0,94.0,50.26737967914438
Hanamura,Bastion,13.0,8.0,38.095238095238095
Hanamura,Brigitte,99.0,97.0,49.48979591836735
Hanamura,D.Va,170.0,158.0,48.170731707317074
Hanamura,Doomfist,22.0,15.0,40.54054054054054
Hanamura,Echo,19.0,18.0,48.64864864864865
Hanamura,Genji,75.0,80.0,51.61290322580645
Hanamura,Hanzo,51.0,55.0,51.886792452830186
Hanamura,Junkrat,36.0,38.0,51.35135135135135
Hanamura,Lúcio,136.0,122.0,47.286821705426355
Hanamura,McCree,37.0,37.0,50.0
Hanamura,Mei,67.0,78.0,53.79310344827586
Hanamura,Mercy,108.0,100.0,48.07692307692308
Hanamura,Moira,50.0,56.0,52.83018867924528
Hanamura,Orisa,108.0,114.0,51.35135135135135
Hanamura,Pharah,40.0,34.0,45.94594594594595
Hanamura,Reaper,30.0,28.0,48.275862068965516
Hanamura,Reinhardt,70.0,71.0,50.35460992907801
Hanamura,Roadhog,29.0,37.0,56.060606060606055
Hanamura,Sigma,61.0,60.0,49.586776859504134
Hanamura,Soldier: 76,33.0,35.0,51.470588235294116
Hanamura,Sombra,50.0,57.0,53.271028037383175
Hanamura,Symmetra,20.0,15.0,42.857142857142854
Hanamura,Torbjörn,10.0,6.0,37.5
Hanamura,Tracer,120.0,116.0,49.152542372881356
Hanamura,Widowmaker,81.0,89.0,52.352941176470594
Hanamura,Winston,126.0,121.0,48.987854251012145
Hanamura,Wrecking Ball,46.0,43.0,48.31460674157304
Hanamura,Zarya,46.0,49.0,51.578947368421055
Hanamura,Zenyatta,133.0,133.0,50.0
Havana,All Heroes,624.0,624.0,50.0
Havana,Ana,47.0,41.0,46.590909090909086
Havana,Ashe,16.0,5.0,23.809523809523807
Havana,Baptiste,72.0,63.0,46.666666666666664
Havana,Bastion,5.0,4.0,44.44444444444444
Havana,Brigitte,37.0,42.0,53.16455696202531
Havana,D.Va,56.0,62.0,52.54237288135594
Havana,Doomfist,4.0,6.0,60.0
Havana,Echo,1.0,2.0,66.66666666666666
Havana,Genji,18.0,18.0,50.0
Havana,Hanzo,51.0,48.0,48.484848484848484
Havana,Junkrat,1.0,,
Havana,Lúcio,64.0,65.0,50.3875968992248
Havana,McCree,26.0,26.0,50.0
Havana,Mei,53.0,55.0,50.92592592592593
Havana,Mercy,29.0,29.0,50.0
Havana,Moira,17.0,20.0,54.054054054054056
Havana,Orisa,58.0,54.0,48.214285714285715
Havana,Pharah,10.0,12.0,54.54545454545454
Havana,Reaper,8.0,12.0,60.0
Havana,Reinhardt,58.0,54.0,48.214285714285715
Havana,Roadhog,33.0,32.0,49.23076923076923
Havana,Sigma,34.0,30.0,46.875
Havana,Soldier: 76,3.0,2.0,40.0
Havana,Sombra,25.0,36.0,59.01639344262295
Havana,Symmetra,4.0,4.0,50.0
Havana,Torbjörn,2.0,,
Havana,Tracer,19.0,17.0,47.22222222222222
Havana,Widowmaker,59.0,56.0,48.69565217391305
Havana,Winston,10.0,11.0,52.38095238095239
Havana,Wrecking Ball,10.0,15.0,60.0
Havana,Zarya,36.0,37.0,50.68493150684932
Havana,Zenyatta,66.0,66.0,50.0
Hollywood,All Heroes,918.0,918.0,50.0
Hollywood,Ana,54.0,57.0,51.35135135135135
Hollywood,Ashe,28.0,29.0,50.877192982456144
Hollywood,Baptiste,39.0,46.0,54.11764705882353
Hollywood,Brigitte,73.0,75.0,50.67567567567568
Hollywood,D.Va,110.0,112.0,50.45045045045045
Hollywood,Doomfist,11.0,12.0,52.17391304347826
Hollywood,Echo,15.0,14.0,48.275862068965516
Hollywood,Genji,29.0,25.0,46.2962962962963
Hollywood,Hanzo,41.0,43.0,51.19047619047619
Hollywood,Junkrat,29.0,23.0,44.230769230769226
Hollywood,Lúcio,95.0,88.0,48.08743169398907
Hollywood,McCree,24.0,23.0,48.93617021276596
Hollywood,Mei,25.0,33.0,56.896551724137936
Hollywood,Mercy,60.0,57.0,48.717948717948715
Hollywood,Moira,36.0,36.0,50.0
Hollywood,Orisa,67.0,65.0,49.24242424242424
Hollywood,Pharah,28.0,30.0,51.724137931034484
Hollywood,Reaper,17.0,17.0,50.0
Hollywood,Reinhardt,64.0,64.0,50.0
Hollywood,Roadhog,44.0,43.0,49.42528735632184
Hollywood,Sigma,30.0,39.0,56.52173913043478
Hollywood,Soldier: 76,16.0,12.0,42.857142857142854
Hollywood,Sombra,52.0,47.0,47.474747474747474
Hollywood,Symmetra,,2.0,
Hollywood,Torbjörn,5.0,6.0,54.54545454545454
Hollywood,Tracer,64.0,59.0,47.96747967479675
Hollywood,Widowmaker,40.0,48.0,54.54545454545454
Hollywood,Winston,63.0,64.0,50.39370078740157
Hollywood,Wrecking Ball,21.0,16.0,43.24324324324324
Hollywood,Zarya,57.0,55.0,49.107142857142854
Hollywood,Zenyatta,101.0,111.0,52.358490566037744
Horizon Lunar Colony,All Heroes,768.0,768.0,50.0
Horizon Lunar Colony,Ana,41.0,36.0,46.75324675324675
Horizon Lunar Colony,Ashe,3.0,1.0,25.0
Horizon Lunar Colony,Baptiste,12.0,9.0,42.857142857142854
Horizon Lunar Colony,Bastion,9.0,16.0,64.0
Horizon Lunar Colony,Brigitte,73.0,75.0,50.67567567567568
Horizon Lunar Colony,D.Va,115.0,118.0,50.64377682403433
Horizon Lunar Colony,Doomfist,14.0,9.0,39.130434782608695
Horizon Lunar Colony,Genji,38.0,43.0,53.086419753086425
Horizon Lunar Colony,Hanzo,13.0,12.0,48.0
Horizon Lunar Colony,Junkrat,65.0,68.0,51.127819548872175
Horizon Lunar Colony,Lúcio,87.0,75.0,46.2962962962963
Horizon Lunar Colony,McCree,20.0,13.0,39.39393939393939
Horizon Lunar Colony,Mei,11.0,14.0,56.00000000000001
Horizon Lunar Colony,Mercy,95.0,89.0,48.369565217391305
Horizon Lunar Colony,Moira,38.0,28.0,42.42424242424242
Horizon Lunar Colony,Orisa,75.0,78.0,50.98039215686274
Horizon Lunar Colony,Pharah,18.0,17.0,48.57142857142857
Horizon Lunar Colony,Reaper,14.0,14.0,50.0
Horizon Lunar Colony,Reinhardt,71.0,64.0,47.40740740740741
Horizon Lunar Colony,Roadhog,16.0,26.0,61.904761904761905
Horizon Lunar Colony,Sigma,7.0,6.0,46.15384615384615
Horizon Lunar Colony,Soldier: 76,24.0,8.0,25.0
Horizon Lunar Colony,Sombra,67.0,69.0,50.73529411764706
Horizon Lunar Colony,Symmetra,2.0,5.0,71.42857142857143
Horizon Lunar Colony,Torbjörn,6.0,2.0,25.0
Horizon Lunar Colony,Tracer,78.0,77.0,49.67741935483871
Horizon Lunar Colony,Widowmaker,84.0,82.0,49.39759036144578
Horizon Lunar Colony,Winston,87.0,84.0,49.122807017543856
Horizon Lunar Colony,Wrecking Ball,18.0,21.0,53.84615384615385
Horizon Lunar Colony,Zarya,69.0,58.0,45.66929133858268
Horizon Lunar Colony,Zenyatta,108.0,112.0,50.90909090909091
Ilios,All Heroes,1500.0,1500.0,50.0
Ilios,Ana,88.0,91.0,50.83798882681564
Ilios,Ashe,22.0,26.0,54.166666666666664
Ilios,Baptiste,34.0,36.0,51.42857142857142
Ilios,Bastion,3.0,1.0,25.0
Ilios,Brigitte,112.0,105.0,48.38709677419355
Ilios,D.Va,218.0,210.0,49.06542056074766
Ilios,Doomfist,24.0,28.0,53.84615384615385
Ilios,Echo,18.0,21.0,53.84615384615385
Ilios,Genji,31.0,36.0,53.73134328358209
Ilios,Hanzo,19.0,20.0,51.28205128205128
Ilios,Junkrat,10.0,5.0,33.33333333333333
Ilios,Lúcio,171.0,161.0,48.493975903614455
Ilios,McCree,74.0,74.0,50.0
Ilios,Mei,41.0,37.0,47.43589743589743
Ilios,Mercy,143.0,148.0,50.85910652920962
Ilios,Moira,73.0,59.0,44.696969696969695
Ilios,Orisa,82.0,75.0,47.77070063694268
Ilios,Pharah,68.0,84.0,55.26315789473685
Ilios,Reaper,42.0,35.0,45.45454545454545
Ilios,Reinhardt,76.0,80.0,51.28205128205128
Ilios,Roadhog,26.0,25.0,49.01960784313725
Ilios,Sigma,27.0,27.0,50.0
Ilios,Soldier: 76,18.0,11.0,37.93103448275862
Ilios,Sombra,105.0,87.0,45.3125
Ilios,Symmetra,4.0,1.0,20.0
Ilios,Torbjörn,11.0,7.0,38.88888888888889
Ilios,Tracer,158.0,149.0,48.534201954397396
Ilios,Widowmaker,112.0,117.0,51.09170305676856
Ilios,Winston,168.0,170.0,50.29585798816568
Ilios,Wrecking Ball,69.0,60.0,46.51162790697674
Ilios,Zarya,79.0,81.0,50.625
Ilios,Zenyatta,158.0,154.0,49.358974358974365
Junkertown,All Heroes,906.0,906.0,50.0
Junkertown,Ana,43.0,39.0,47.5609756097561
Junkertown,Ashe,5.0,4.0,44.44444444444444
Junkertown,Baptiste,58.0,49.0,45.794392523364486
Junkertown,Bastion,63.0,43.0,40.56603773584906
Junkertown,Brigitte,36.0,36.0,50.0
Junkertown,D.Va,127.0,122.0,48.99598393574297
Junkertown,Doomfist,1.0,6.0,85.71428571428571
Junkertown,Echo,6.0,8.0,57.14285714285714
Junkertown,Genji,48.0,60.0,55.55555555555556
Junkertown,Hanzo,65.0,56.0,46.28099173553719
Junkertown,Junkrat,65.0,68.0,51.127819548872175
Junkertown,Lúcio,48.0,58.0,54.71698113207547
Junkertown,McCree,30.0,20.0,40.0
Junkertown,Mei,33.0,38.0,53.52112676056338
Junkertown,Mercy,123.0,110.0,47.21030042918455
Junkertown,Moira,13.0,23.0,63.888888888888886
Junkertown,Orisa,132.0,127.0,49.034749034749034
Junkertown,Pharah,7.0,5.0,41.66666666666667
Junkertown,Reaper,10.0,17.0,62.96296296296296
Junkertown,Reinhardt,40.0,39.0,49.36708860759494
Junkertown,Roadhog,114.0,115.0,50.21834061135371
Junkertown,Sigma,26.0,25.0,49.01960784313725
Junkertown,Soldier: 76,5.0,7.0,58.333333333333336
Junkertown,Sombra,27.0,14.0,34.146341463414636
Junkertown,Symmetra,3.0,,
Junkertown,Torbjörn,1.0,1.0,50.0
Junkertown,Tracer,86.0,72.0,45.56962025316456
Junkertown,Widowmaker,139.0,136.0,49.45454545454545
Junkertown,Winston,74.0,71.0,48.96551724137931
Junkertown,Wrecking Ball,17.0,8.0,32.0
Junkertown,Zarya,25.0,28.0,52.83018867924528
Junkertown,Zenyatta,126.0,122.0,49.193548387096776
King's Row,All Heroes,1554.0,1554.0,50.0
King's Row,Ana,92.0,95.0,50.80213903743316
King's Row,Ashe,55.0,51.0,48.113207547169814
King's Row,Baptiste,93.0,77.0,45.294117647058826
King's Row,Bastion,14.0,3.0,17.647058823529413
King's Row,Brigitte,101.0,106.0,51.20772946859904
King's Row,D.Va,186.0,180.0,49.18032786885246
King's Row,Doomfist,26.0,23.0,46.93877551020408
King's Row,Echo,14.0,16.0,53.333333333333336
King's Row,Genji,58.0,61.0,51.26050420168067
King's Row,Hanzo,87.0,87.0,50.0
King's Row,Junkrat,60.0,64.0,51.61290322580645
King's Row,Lúcio,162.0,152.0,48.40764331210191
King's Row,McCree,59.0,51.0,46.36363636363636
King's Row,Mei,74.0,77.0,50.993377483443716
King's Row,Mercy,98.0,100.0,50.505050505050505
King's Row,Moira,65.0,61.0,48.41269841269841
King's Row,Orisa,117.0,126.0,51.85185185185185
King's Row,Pharah,39.0,41.0,51.24999999999999
King's Row,Reaper,37.0,41.0,52.56410256410257
King's Row,Reinhardt,142.0,134.0,48.55072463768116
